,식품군,식품이름,열량 (kcal),탄수화물 (g),단백질 (g),지방 (g),당류 (g),나트륨 (mg),포화지방산 (g)
3631,커피,맥심 티오피 스위트 아메리카노(동서식품),70.4,17.6,0.0,0.0,16.0,52.0,0.0
3632,커피,맥심 티오피 초콜렛모카(동서식품),169.2,29.2,3.2,4.4,29.08,96.0,2.4
3633,커피,바리스타 스모키 로스팅 라떼,193.04,29.36,5.4,6.16,30.71,200.76,4.64
3634,커피,바리스타 시그니처 라떼프레소 (병),207.04,38.08,3.32,4.16,31.32,182.2,3.32
3635,커피,바리스타 시그니처 마끼아또 스위트 (병),224.04,43.16,3.32,4.16,31.32,248.92,3.32
3636,커피,바바커피 아이스 까페라떼(웅진식품),247.06,61.18,4.71,0.0,68.0,176.47,0.0
3637,커피,바바커피 아이스 아메리카노(웅진식품),129.41,30.59,0.0,0.0,40.0,82.35,0.0
3638,커피,바바커피 아이스 카라멜마끼아또(웅진식품),235.29,58.82,2.35,0.0,68.0,176.47,0.0
3639,커피,소이 카푸치노,116.42,20.0,3.37,3.37,37.88,77.47,2.74
3640,커피,스타벅스 더블샷 돌체 에스프레소(동서식품),201.0,36.0,3.0,5.0,36.0,120.0,2.4
3641,커피,스타벅스 더블샷 아메리카노(동서식품),40.0,10.0,0.0,0.0,10.0,30.0,0.0
3642,커피,스타벅스 더블샷 에스프레소 마키아또(동서식품),169.0,28.0,3.0,5.0,28.0,80.0,2.4
3643,커피,스타벅스 블랙커피 스윗 다크 블렌드(서울우유협동조합),73.0,16.0,0.0,1.0,16.0,100.0,0.0
3644,커피,스타벅스 커피 에스프레소(동서식품),208.0,30.0,4.0,8.0,50.68,90.0,4.0
3645,커피,스타벅스 커피 에스프레소(서울우유협동조합),105.0,15.0,2.0,4.0,13.0,45.0,2.0
3646,커피,스페셜티 카페라떼 다크(서울우유협동조합),232.8,33.6,4.8,8.8,30.4,192.0,5.12
3647,커피,아라비카 아이스 라떼(동서식품),187.37,37.89,2.11,2.95,68.0,88.42,1.47
3648,커피,아라비카 아이스 블랙(동서식품),8.42,2.11,0.0,0.0,0.0,63.16,0.0
3649,커피,아라비카 아이스 아메리카노(동서식품),101.05,25.26,0.0,0.0,48.0,63.16,0.0
3650,커피,아카페라 그란데 아메리카노(아셉시스글로벌),59.26,14.82,0.74,0.0,13.32,66.67,0.0
3651,커피,아카페라 그란데 오리지널라떼(아셉시스글로벌),170.37,29.63,3.7,4.44,28.16,118.52,2.96
3652,커피,아카페라 디블랙 브라질옐로버번(아셉시스글로벌),8.33,1.67,0.5,0.0,0.0,66.67,0.0
3653,커피,아카페라 디블렉 과테말라안티구아(아셉시스글로벌),25.0,5.0,0.5,0.0,3.32,66.67,0.0
3654,커피,아카페라 모카라떼(아셉시스글로벌),233.33,38.33,5.83,6.67,35.0,200.0,5.0
3655,커피,아카페라 바닐라라떼(아셉시스글로벌),241.67,40.0,5.83,6.67,36.68,200.0,5.0
3656,커피,아카페라 아메리카노(아셉시스글로벌),58.33,13.33,0.83,0.0,11.68,91.67,0.0
3657,커피,아카페라 카라멜마끼아또(아셉시스글로벌),233.33,38.33,5.83,6.67,35.0,200.0,5.0
3658,커피,아카페라 카페라떼(아셉시스글로벌),225.0,35.0,5.83,6.67,30.0,200.0,5.0
3659,커피,카페라떼 마일드 카페라떼 (캔),154.72,28.72,2.88,2.88,32.58,143.68,2.0
3660,커피,카페라떼 모카라떼,230.56,34.6,7.68,6.92,30.71,172.92,3.84
3661,커피,카페리얼 헤이즐넛향(쟈뎅),105.88,25.88,0.0,0.0,20.0,54.12,0.0
3662,커피,칸타타 아이스 아메리카노(롯데칠성),105.26,27.37,2.11,0.0,52.0,126.32,0.0
3663,커피,칸타타 아이스 카라멜마키아토(롯데칠성),231.58,46.32,6.32,2.11,88.0,263.16,0.0
3664,커피,칸타타 아이스 헤이즐넛향(롯데칠성),126.32,29.47,0.0,0.0,56.0,126.32,0.0
3665,커피,"커피,커피믹스, 맥심디카페인커피믹스(동서식품㈜)",212.0,40.0,1.2,5.2,48.0,24.8,5.2
3666,커피,프렌치카페 아메리카노(남양유업),115.79,29.47,0.0,0.0,44.0,63.16,0.0
3667,커피,프렌치카페 헤이즐넛향(남양유업),115.79,29.47,0.0,0.0,44.0,63.16,0.0
3668,커피,"홍차,믹스, 네스티(한국네슬레)",800.0,198.8,0.0,0.0,0.0,10.0,0.0
3669,커피,"홍차,믹스, 네스티녹차아이스티(한국네슬레)",760.0,190.0,0.0,0.0,0.0,50.0,0.0
3670,빵 또는 떡류,"1,000원의 행복 토스트 식빵",141.78,25.84,4.88,2.1,2.45,228.45,0.76
3671,빵 또는 떡류,100% 우리밀로 만든 미니땅콩샌드,260.95,33.63,4.64,12.76,4.52,301.54,5.8
3672,빵 또는 떡류,100% 우리밀로 만든 미니복숭아샌드,239.32,34.7,3.59,9.57,3.77,287.18,5.38
3673,빵 또는 떡류,100% 우리밀로 만든 미니옥수수샌드,249.35,34.79,3.48,11.6,5.28,266.75,5.8
3674,빵 또는 떡류,100%우리밀로 만든 미니딸기샌드,255.15,34.79,4.64,12.76,4.52,278.34,6.96
3675,빵 또는 떡류,100%우리밀로 만든 미니생크림샌드,255.15,34.79,3.48,11.6,6.79,289.94,5.8
3676,빵 또는 떡류,100%우리밀로 만든 생크림 샌드,254.87,34.7,3.59,11.97,6.79,299.14,5.98
3677,빵 또는 떡류,1964정통 크림빵,269.37,39.2,4.02,11.06,8.29,231.18,4.83
3678,빵 또는 떡류,56시간 부드러운熟숙,159.49,28.0,4.24,3.14,1.94,229.05,2.04
3679,빵 또는 떡류,56시간 저온숙성 숙,135.17,23.61,4.38,2.58,1.75,230.02,1.45
3680,빵 또는 떡류,BGF통식빵,139.65,25.48,4.9,1.91,1.96,200.9,0.98
3681,빵 또는 떡류,Bonjour 따베패스츄리,153.88,22.27,2.02,6.07,8.91,141.74,2.84
3682,빵 또는 떡류,Bonjour 스위트패스츄리,187.53,26.01,3.02,7.86,7.62,187.53,4.24
