,성별,골격근량,체지방량,BMI,체지방율,복부지방율,몸무게,나이,키,권장섭취량,탄수화물,단백질,지방,비타민A,티아민,리보플라빈,비타민C,칼슘,철분,알레르기
38,1,26.5,9.2,20.61058683,16.2,0.8,57.0,17,166.3,2700,235.02,117.51,17.40888889,850.0,1.3,1.7,110.0,900.0,15.0,
39,1,26.8,4.0,17.34104046,7.6,0.8,51.9,17,173.0,2700,229.52625,114.763125,17.00194444,850.0,1.3,1.7,110.0,900.0,15.0,
40,1,26.9,11.7,20.87372754,19.5,0.8,59.9,17,169.4,2700,243.32625,121.663125,18.02416667,850.0,1.3,1.7,110.0,900.0,15.0,
41,1,26.9,6.9,19.84024291,12.5,0.8,55.2,17,166.8,2700,231.6825,115.84125,17.16166667,850.0,1.3,1.7,110.0,900.0,15.0,
42,1,26.0,16.2,22.11923283,25.7,0.8,63.1,17,168.9,2700,249.55125,124.775625,18.48527778,850.0,1.3,1.7,110.0,900.0,15.0,
43,1,26.0,20.6,24.52903354,30.3,0.9,68.0,17,166.5,2700,257.8575,128.92875,19.10055556,850.0,1.3,1.7,110.0,900.0,15.0,
44,1,26.0,4.8,18.61819897,9.2,0.8,51.8,17,166.8,2700,224.67,112.335,16.64222222,850.0,1.3,1.7,110.0,900.0,15.0,4
45,1,27.1,10.1,19.81713061,17.2,0.8,58.9,17,172.4,2700,243.51375,121.756875,18.03805556,850.0,1.3,1.7,110.0,900.0,15.0,
46,1,27.1,5.6,18.74176583,10.4,0.8,54.1,17,169.9,2700,231.73875,115.869375,17.16583333,850.0,1.3,1.7,110.0,900.0,15.0,5
47,1,27.2,4.6,18.30049621,8.6,0.8,53.2,17,170.5,2700,230.3325,115.16625,17.06166667,850.0,1.3,1.7,110.0,900.0,15.0,
48,1,27.3,1.9,16.70208737,3.7,0.8,50.8,17,174.4,2700,228.3075,114.15375,16.91166667,850.0,1.3,1.7,110.0,900.0,15.0,
49,1,27.3,11.5,21.63510804,18.9,0.8,60.7,17,167.5,2700,243.55125,121.775625,18.04083333,850.0,1.3,1.7,110.0,900.0,15.0,
50,1,27.3,12.7,21.34948097,20.6,0.8,61.7,17,170.0,2700,247.48875,123.744375,18.3325,850.0,1.3,1.7,110.0,900.0,15.0,
51,1,27.3,12.7,22.40729666,20.7,0.8,61.3,17,165.4,2700,243.21375,121.606875,18.01583333,850.0,1.3,1.7,110.0,900.0,15.0,5
52,1,27.4,10.0,20.98549736,16.8,0.8,59.3,17,168.1,2700,241.11375,120.556875,17.86027778,850.0,1.3,1.7,110.0,900.0,15.0,
53,1,27.4,13.2,20.1083017,21.2,0.8,62.5,17,176.3,2700,253.86375,126.931875,18.80472222,850.0,1.3,1.7,110.0,900.0,15.0,
54,1,27.4,20.7,22.961992000000002,29.6,0.8,70.0,17,174.6,2700,268.0575,134.02875,19.85611111,850.0,1.3,1.7,110.0,900.0,15.0,
55,1,27.5,10.1,21.70798898,17.1,0.8,59.1,17,165.0,2700,238.37625,119.188125,17.6575,850.0,1.3,1.7,110.0,900.0,15.0,15
