,칼로리(Kcal),탄수화물(g),단백질(g),지방(g),비타민A(mg),티아민(mg),리보플라빈(mg),비타민C(mg),칼슘(mg),철분(mg)
3707,16.0,819.7,501.9,7111.900000000001,19.0,13.7,742.0999999999999,7715.699999999999,130.7,규칙규칙규칙규칙규칙규칙규칙
3708,15.0,814.0,459.79999999999995,6593.1,16.6,12.700000000000001,1067.8,4781.900000000001,131.3,규칙규칙규칙규칙규칙규칙규칙
3709,18.0,745.9999999999999,400.59999999999997,7546.0,14.7,11.1,1005.7,5532.8,130.1,규칙규칙규칙규칙규칙규칙규칙
3710,17.0,747.8000000000001,452.3,7130.2,21.300000000000004,15.4,970.8000000000002,6221.600000000001,210.19999999999996,규칙규칙규칙규칙규칙규칙규칙
3711,20.0,874.1,521.1999999999999,6461.000000000001,15.0,10.9,1011.4000000000001,5906.8,124.69999999999999,규칙규칙규칙규칙규칙규칙규칙
3712,15.0,858.5,455.6000000000001,8975.699999999999,96.99999999999999,13.3,915.3000000000001,6565.200000000001,158.9,규칙규칙규칙규칙규칙규칙규칙
3713,14.0,874.9,601.3,7976.299999999999,18.6,13.3,947.0,7234.6,212.1,규칙규칙규칙규칙규칙규칙규칙
3714,18.0,809.5999999999999,570.3,9056.8,33.099999999999994,14.0,1321.1,5664.3,173.1,규칙규칙규칙규칙규칙규칙규칙
3715,17.0,743.6,494.50000000000006,6390.599999999999,14.8,11.9,930.8,5823.199999999999,145.20000000000002,규칙규칙규칙규칙규칙규칙규칙
3716,19.0,760.4,383.70000000000005,6072.900000000001,13.7,10.799999999999999,808.8,5029.999999999999,140.4,규칙규칙규칙규칙규칙규칙규칙
3717,19.0,803.8000000000001,576.3,7571.500000000001,15.9,11.6,740.8,4880.9,139.3,규칙규칙규칙규칙규칙규칙규칙
3718,17.0,861.5999999999999,552.0,8785.4,15.7,13.499999999999998,984.2,6457.1,159.10000000000002,규칙규칙규칙규칙규칙규칙규칙
3719,18.0,682.8,455.79999999999995,6107.9,16.400000000000002,18.4,888.6,4973.1,150.60000000000002,규칙규칙규칙규칙규칙규칙규칙
3720,17.0,746.6999999999999,410.0,7720.4,12.0,11.2,955.4000000000001,5335.400000000001,141.7,규칙규칙규칙규칙규칙규칙규칙
3721,19.0,805.8,438.29999999999995,6916.7,102.3,97.20000000000002,764.0999999999999,5611.300000000001,121.8,규칙규칙규칙규칙규칙규칙규칙
3722,17.0,781.8,379.7,7583.7,213.79999999999998,212.7,922.2,6091.3,137.0,규칙규칙규칙규칙규칙규칙규칙
3723,16.0,849.5,570.6999999999999,8468.8,14.8,11.999999999999998,850.5,6001.2,135.0,규칙규칙규칙규칙규칙규칙규칙
3724,15.0,819.2,467.4,7315.800000000001,54.599999999999994,23.4,888.3000000000001,6081.0,125.2,규칙규칙규칙규칙규칙규칙규칙
3725,20.0,929.0999999999999,663.5999999999999,7573.299999999999,18.799999999999997,15.000000000000002,1000.6,7172.1,157.30000000000004,규칙규칙규칙규칙규칙규칙규칙
3726,15.0,813.4,459.09999999999997,6047.500000000001,16.1,12.6,758.9999999999999,7012.899999999999,125.2,규칙규칙규칙규칙규칙규칙규칙
3727,15.0,750.5,505.59999999999997,7859.399999999999,18.9,12.0,820.1,5419.700000000001,165.10000000000002,규칙규칙규칙규칙규칙규칙규칙
3728,14.0,753.4000000000001,426.79999999999995,6801.200000000001,30.299999999999997,26.7,866.1000000000001,6163.5,136.2,규칙규칙규칙규칙규칙규칙규칙
3729,18.0,788.3999999999999,447.79999999999995,8904.600000000002,16.1,12.7,857.8000000000001,5925.200000000001,145.5,규칙규칙규칙규칙규칙규칙규칙
3730,16.0,743.2,438.70000000000005,7007.7,15.4,10.399999999999999,922.3,5427.6,168.8,규칙규칙규칙규칙규칙규칙규칙
3731,17.0,766.1,420.6000000000001,7314.499999999999,15.200000000000001,12.9,954.8000000000001,5930.2,303.6,규칙규칙규칙규칙규칙규칙규칙
3732,18.0,846.1,456.19999999999993,7758.4000000000015,16.5,13.2,853.8000000000001,6570.800000000001,150.70000000000002,규칙규칙규칙규칙규칙규칙규칙
3733,16.0,835.6999999999998,444.0,7818.8,12.6,13.6,756.6,6550.9,157.9,규칙규칙규칙규칙규칙규칙규칙
3734,16.0,725.6,502.9,6965.499999999999,15.3,11.600000000000001,882.0000000000002,6240.4,126.10000000000002,규칙규칙규칙규칙규칙규칙규칙
3735,17.0,737.9000000000001,426.99999999999994,6789.600000000001,17.7,11.099999999999998,795.5999999999999,5534.9,222.1,규칙규칙규칙규칙규칙규칙규칙
3736,14.0,781.6999999999999,413.49999999999994,8094.700000000001,15.499999999999998,10.200000000000001,1155.5,6268.199999999999,127.5,규칙규칙규칙규칙규칙규칙규칙
3737,18.0,765.9,440.0,8134.8,16.299999999999997,11.500000000000002,1271.4999999999998,5358.599999999999,139.20000000000002,규칙규칙규칙규칙규칙규칙규칙
3738,15.0,832.0999999999999,494.99999999999994,6664.8,44.699999999999996,37.4,965.1000000000001,7559.0,148.2,규칙규칙규칙규칙규칙규칙규칙
3739,15.0,866.9000000000001,520.9,8455.7,35.2,29.1,892.0,6122.9,236.3,규칙규칙규칙규칙규칙규칙규칙
3740,19.0,720.3,531.1,7428.400000000001,16.6,12.1,652.0000000000001,5199.1,144.0,규칙규칙규칙규칙규칙규칙규칙
3741,16.0,820.0999999999999,448.3,7281.7,16.700000000000003,14.000000000000002,940.7,5774.9,149.1,규칙규칙규칙규칙규칙규칙규칙
3742,17.0,697.9,403.20000000000005,6730.4,17.4,10.5,964.9,4744.499999999999,117.5,규칙규칙규칙규칙규칙규칙규칙
3743,20.0,835.4000000000001,579.0999999999999,7116.1,15.6,10.799999999999997,1042.8,5854.6,143.20000000000002,규칙규칙규칙규칙규칙규칙규칙
3744,14.0,747.6,414.30000000000007,7078.7,16.3,12.000000000000002,828.9999999999999,5408.3,133.1,규칙규칙규칙규칙규칙규칙규칙
3745,17.0,757.0000000000001,438.50000000000006,6315.9,17.0,12.200000000000001,996.5,4116.700000000001,164.10000000000002,규칙규칙규칙규칙규칙규칙규칙
3746,18.0,807.6,417.8,7230.700000000001,15.600000000000001,13.100000000000001,848.6999999999999,5384.3,127.0,규칙규칙규칙규칙규칙규칙규칙
3747,15.0,856.9000000000001,382.0,4767.1,16.0,10.0,666.5,5423.900000000001,110.6,규칙규칙규칙규칙규칙규칙규칙
3748,20.0,960.6,572.2,7117.400000000001,19.400000000000002,14.899999999999999,849.8,6533.6,162.2,규칙규칙규칙규칙규칙규칙규칙
3749,15.0,835.5,509.99999999999994,8275.300000000001,15.899999999999999,11.8,877.6999999999999,5479.299999999999,133.4,규칙규칙규칙규칙규칙규칙규칙
3750,19.0,934.5999999999999,548.1,7905.9,24.8,12.1,1029.9,8011.800000000001,147.0,규칙규칙규칙규칙규칙규칙규칙
3751,15.0,786.6,422.7,9748.0,16.0,12.7,1098.1,6185.8,162.6,규칙규칙규칙규칙규칙규칙규칙
3752,16.0,755.7,389.20000000000005,7227.9,17.3,10.600000000000001,982.0999999999999,6329.2,124.80000000000001,규칙규칙규칙규칙규칙규칙규칙
3753,16.0,691.3,421.70000000000005,6681.099999999999,12.2,9.899999999999999,1045.0,6005.1,114.80000000000001,규칙규칙규칙규칙규칙규칙규칙
3754,16.0,766.7,474.3,7757.000000000001,35.300000000000004,12.9,951.6,6057.300000000001,190.8,규칙규칙규칙규칙규칙규칙규칙
3755,19.0,741.4,433.2000000000001,6776.6,12.8,11.1,904.3000000000002,7204.6,122.80000000000001,규칙규칙규칙규칙규칙규칙규칙
