,단백질(g),리보플라빈(mg),비타민A(mg),비타민C(mg),지방(g),철분(mg),칼로리(kcal),칼슘(mg),탄수화물(g),티아민(mg)
4965,465.9,789.2,13.899999999999995,6651.9000000000015,8690.1,규칙규칙규칙규칙규칙규칙규칙,,147.20000000000005,805.4999999999999,12.4
4966,766.6899999999998,13.300000000000002,8024.2,749.0000000000001,465.78,138.50000000000003,17200.73,4620.799999999998,2289.77,14.400000000000002
4967,793.75,10.5,5973.9,652.1999999999998,501.89999999999986,130.5,18536.34,5547.799999999998,2591.5200000000004,13.3
4968,763.07,11.499999999999998,7484.000000000001,1071.0,432.31,117.4,17937.780000000002,6500.0,2527.98,12.5
4969,474.10000000000014,939.9,15.9,5646.1,7230.299999999998,규칙규칙규칙규칙규칙규칙규칙,,129.0,810.0999999999998,12.5
4970,484.3,1059.5000000000002,15.400000000000002,5314.5,9595.0,규칙규칙규칙규칙규칙규칙규칙,,158.9,836.3000000000002,11.5
4971,806.29,11.6,7425.299999999998,1046.1,539.1400000000001,137.60000000000002,20025.550000000007,5942.000000000001,2833.200000000001,15.8
4972,488.2000000000001,1072.6,22.4,6435.700000000002,7502.5,규칙규칙규칙규칙규칙규칙규칙,,144.70000000000005,782.3000000000002,13.499999999999998
4973,633.28,58.8,5115.700000000002,906.6,467.95000000000016,105.0,16893.950000000004,5205.4,2473.830000000001,61.6
4974,777.2099999999998,10.300000000000002,6977.0999999999985,875.5999999999998,392.98,117.9,17308.84,4330.4000000000015,2427.6800000000007,23.1
4975,482.1,1248.0,21.0,5945.3,8458.099999999999,규칙규칙규칙규칙규칙규칙규칙,,153.70000000000005,847.9,12.8
4976,689.43,9.3,6834.000000000001,756.9999999999997,487.9,143.9,16325.52,5232.5999999999985,2231.51,12.5
4977,529.4,1160.0,20.500000000000004,5664.0999999999985,8330.6,규칙규칙규칙규칙규칙규칙규칙,,153.4,887.1999999999998,21.7
4978,833.2,10.6,6603.999999999997,754.4,464.33,142.7,18965.7,4538.8,2577.71,15.500000000000002
4979,529.7,1185.6,19.0,7072.7,8446.599999999999,규칙규칙규칙규칙규칙규칙규칙,,247.3,778.2,13.999999999999998
4980,403.6,751.0,20.900000000000006,6337.0999999999985,8363.699999999999,규칙규칙규칙규칙규칙규칙규칙,,191.6,731.0,13.2
4981,825.23,112.5,7138.799999999998,980.0,520.3000000000002,179.50000000000003,19558.29,6027.299999999998,2704.86,120.4
4982,490.2000000000001,962.8,33.2,6177.500000000001,7698.1,규칙규칙규칙규칙규칙규칙규칙,,232.2,868.3,15.9
4983,490.1,852.2,20.2,7339.6,8070.1,규칙규칙규칙규칙규칙규칙규칙,,136.2,851.2,18.0
4984,709.89,9.5,4842.0,682.1999999999998,610.87,117.8,18348.650000000005,3328.0999999999995,2307.48,12.099999999999998
4985,680.7900000000002,11.500000000000002,6062.699999999999,751.1000000000001,396.69,94.0,14774.63,4085.8,2017.49,13.3
4986,411.10000000000014,1023.3,153.2,5702.499999999999,8486.2,규칙규칙규칙규칙규칙규칙규칙,,162.7,855.9000000000002,146.70000000000005
4987,676.8,8.6,5214.7,887.1999999999998,419.14,109.90000000000003,16044.83,4021.8,2121.74,15.2
4988,516.3,1059.8,88.30000000000003,6674.9000000000015,8137.6,규칙규칙규칙규칙규칙규칙규칙,,186.5,877.9000000000002,81.7
4989,685.1500000000002,10.2,4957.9000000000015,623.2,468.07,159.20000000000005,17168.39,4487.9,2335.28,13.4
4990,697.32,11.1,5169.199999999999,641.7,463.54,122.5,17314.980000000003,5314.4,2247.3,14.4
4991,723.51,9.2,6546.0,1173.2,357.77,144.5,17100.530000000002,5520.7,2410.59,22.9
4992,741.24,11.7,6263.3,872.5999999999998,514.9000000000002,129.0,17722.969999999998,5504.299999999998,2308.9300000000007,26.7
